trace,algorithm,frames,page_faults,fault_rate,hit_rate,sim_time
sixpack.trace,clockAlg,128,23229,0.023229,0.976771,0.079809
sixpack.trace,clockAlg,256,11876,0.011876,0.988124,0.077598
sixpack.trace,clockAlg,512,6119,0.006119,0.993881,0.076151
sixpack.trace,clockAlg,1024,4618,0.004618,0.995382,0.072851
swim.trace,rand,1,763444,0.763444,0.236556,0.094041
swim.trace,rand,2,557211,0.557211,0.442789,0.096229
swim.trace,rand,4,428507,0.428507,0.571493,0.094612
swim.trace,rand,8,320951,0.320951,0.679049,0.085117
swim.trace,rand,16,194975,0.194975,0.805025,0.082504
swim.trace,rand,32,83817,0.083817,0.916183,0.074979
swim.trace,rand,64,35342,0.035342,0.964658,0.074999
swim.trace,rand,128,18009,0.018009,0.981991,0.075771
swim.trace,rand,256,9305,0.009305,0.990695,0.071311
swim.trace,rand,512,5183,0.005183,0.994817,0.077144
swim.trace,rand,1024,3482,0.003482,0.996518,0.079172
swim.trace,lru,1,763444,0.763444,0.236556,0.096014
swim.trace,lru,2,470679,0.470679,0.529321,0.092512
swim.trace,lru,4,346936,0.346936,0.653064,0.084175
swim.trace,lru,8,285375,0.285375,0.714625,0.090617
swim.trace,lru,16,171961,0.171961,0.828039,0.094879
swim.trace,lru,32,48254,0.048254,0.951746,0.083339
swim.trace,lru,64,21656,0.021656,0.978344,0.080940
swim.trace,lru,128,13250,0.013250,0.986750,0.082906
swim.trace,lru,256,5673,0.005673,0.994327,0.088964
swim.trace,lru,512,3632,0.003632,0.996368,0.079974
swim.trace,lru,1024,2803,0.002803,0.997197,0.091134
swim.trace,clockAlg,1,763444,0.763444,0.236556,0.093230
swim.trace,clockAlg,2,541458,0.541458,0.458542,0.089691
swim.trace,clockAlg,4,380682,0.380682,0.619318,0.085740
swim.trace,clockAlg,8,293519,0.293519,0.706481,0.091475
swim.trace,clockAlg,16,191848,0.191848,0.808152,0.113981
swim.trace,clockAlg,32,53025,0.053025,0.946975,0.086026
swim.trace,clockAlg,64,22611,0.022611,0.977389,0.080133
swim.trace,clockAlg,128,15275,0.015275,0.984725,0.079694
swim.trace,clockAlg,256,5980,0.005980,0.994020,0.073289
swim.trace,clockAlg,512,3795,0.003795,0.996205,0.077044
swim.trace,clockAlg,1024,2901,0.002901,0.997099,0.082954
